protein_id	old_locus_tag	locus_tag
AEP_00001	 	 
WP_087493495.1	AEP_00001	AEP_RS00005
AEP_00002	 	 
WP_087493496.1	AEP_00002	AEP_RS00010
AEP_00003	 	 
WP_087493497.1	AEP_00003	AEP_RS00015
AEP_00004	 	 
WP_087493498.1	AEP_00004	AEP_RS00020
AEP_00005	 	 
WP_087493499.1	AEP_00005	AEP_RS00025
AEP_00006	 	 
WP_087493500.1	AEP_00006	AEP_RS00030
AEP_00007	 	 
WP_087493501.1	AEP_00007	AEP_RS00035
AEP_00008	 	 
WP_087493502.1	AEP_00008	AEP_RS00040
AEP_00009	 	 
WP_087493503.1	AEP_00009	AEP_RS00045
AEP_00010	 	 
WP_087493504.1	AEP_00010	AEP_RS00050
AEP_00011	 	 
WP_087493505.1	AEP_00011	AEP_RS00055
AEP_00012	 	 
WP_087493506.1	AEP_00012	AEP_RS00060
AEP_00013	 	 
WP_087493507.1	AEP_00013	AEP_RS00065
AEP_00014	 	 
WP_087493508.1	AEP_00014	AEP_RS00070
AEP_00015	 	 
WP_087493509.1	AEP_00015	AEP_RS00075
AEP_00016	 	 
WP_087493510.1	AEP_00016	AEP_RS00080
AEP_00017	 	 
WP_087493511.1	AEP_00017	AEP_RS00085
AEP_00018	 	 
WP_087493512.1	AEP_00018	AEP_RS00090
AEP_00019	 	 
WP_087493513.1	AEP_00019	AEP_RS00095
AEP_00020	 	 
WP_157673242.1	AEP_00020	AEP_RS00100
AEP_00021	 	 
WP_087493514.1	AEP_00021	AEP_RS00105
AEP_00022	 	 
WP_087493515.1	AEP_00022	AEP_RS00110
AEP_00023	 	 
WP_087493516.1	AEP_00023	AEP_RS00115
AEP_00024	 	 
AEP_00025	 	 
AEP_00026	 	 
WP_232459884.1	AEP_00026	AEP_RS00130
AEP_00027	 	 
WP_087493517.1	AEP_00027	AEP_RS00135
AEP_00028	 	 
WP_087493518.1	AEP_00028	AEP_RS00140
AEP_00029	 	 
WP_087493519.1	AEP_00029	AEP_RS00145
AEP_00030	 	 
WP_087493520.1	AEP_00030	AEP_RS00150
AEP_00031	 	 
WP_087493521.1	AEP_00031	AEP_RS00155
AEP_00032	 	 
WP_087493522.1	AEP_00032	AEP_RS00160
AEP_00033	 	 
WP_087493523.1	AEP_00033	AEP_RS00165
AEP_00034	 	 
WP_087493524.1	AEP_00034	AEP_RS00170
AEP_00035	 	 
WP_087493525.1	AEP_00035	AEP_RS00175
AEP_00036	 	 
WP_087493526.1	AEP_00036	AEP_RS00180
AEP_00037	 	 
WP_087493527.1	AEP_00037	AEP_RS00185
AEP_00038	 	 
WP_087493528.1	AEP_00038	AEP_RS00190
AEP_00039	 	 
WP_198301873.1	AEP_00039	AEP_RS00195
AEP_00040	 	 
WP_087493530.1	AEP_00040	AEP_RS00200
AEP_00041	 	 
WP_087493531.1	AEP_00041	AEP_RS00205
AEP_00042	 	 
WP_087493532.1	AEP_00042	AEP_RS00210
AEP_00043	 	 
WP_087493533.1	AEP_00043	AEP_RS00215
AEP_00044	 	 
WP_087493534.1	AEP_00044	AEP_RS00220
AEP_00045	 	 
WP_087493535.1	AEP_00045	AEP_RS00225
AEP_00046	 	 
WP_087497098.1	AEP_00046	AEP_RS00230
AEP_00047	 	 
WP_087493536.1	AEP_00047	AEP_RS00235
AEP_00048	 	 
WP_232460040.1	AEP_00048	AEP_RS00240
AEP_00049	 	 
WP_087493538.1	AEP_00049	AEP_RS00245
AEP_00050	 	 
