GID	SYMBOL	GENENAME
AEP_00001	WP_087493495.1	response regulator transcription factor
AEP_00002	WP_087493496.1	sodium-translocating pyrophosphatase
AEP_00003	WP_087493497.1	inorganic diphosphatase
AEP_00004	WP_087493498.1	alpha/beta fold hydrolase
AEP_00005	WP_087493499.1	chemotaxis protein CheW
AEP_00006	WP_087493500.1	methyl-accepting chemotaxis protein
AEP_00007	WP_087493501.1	GNAT family N-acetyltransferase
AEP_00008	WP_087493502.1	NAD+ synthase
AEP_00009	WP_087493503.1	P-II family nitrogen regulator
AEP_00010	WP_087493504.1	diacylglycerol kinase
AEP_00011	WP_087493505.1	RDD family protein
AEP_00012	WP_087493506.1	DUF3106 domain-containing protein
AEP_00013	WP_087493507.1	DUF3619 family protein
AEP_00014	WP_087493508.1	RNA polymerase sigma factor
AEP_00015	WP_087493509.1	acetolactate synthase 3 catalytic subunit
AEP_00016	WP_087493510.1	acetolactate synthase small subunit
AEP_00017	WP_087493511.1	ketol-acid reductoisomerase
AEP_00018	WP_087493512.1	CDP-diacylglycerol--serine O-phosphatidyltransferase
AEP_00019	WP_087493513.1	2-isopropylmalate synthase
AEP_00020	WP_157673242.1	serine hydrolase
AEP_00021	WP_087493514.1	IclR family transcriptional regulator
AEP_00022	WP_087493515.1	arginyltransferase
AEP_00023	WP_087493516.1	leucyl/phenylalanyl-tRNA--protein transferase
AEP_00026	WP_232459884.1	glutamate racemase
AEP_00027	WP_087493517.1	fumarate hydratase
AEP_00028	WP_087493518.1	acetate--CoA ligase
AEP_00029	WP_087493519.1	c-type cytochrome
AEP_00030	WP_087493520.1	TIGR04438 family Trp-rich protein
AEP_00031	WP_087493521.1	dihydroxy-acid dehydratase
AEP_00032	WP_087493522.1	prolipoprotein diacylglyceryl transferase
AEP_00033	WP_087493523.1	GntR family transcriptional regulator
AEP_00034	WP_087493524.1	malonyl-CoA decarboxylase family protein
AEP_00035	WP_087493525.1	tripartite tricarboxylate transporter substrate binding protein
