protein_id	old_locus_tag	locus_tag
WP_087493495.1	AEP_00001	AEP_RS00005
WP_087493496.1	AEP_00002	AEP_RS00010
WP_087493497.1	AEP_00003	AEP_RS00015
WP_087493498.1	AEP_00004	AEP_RS00020
WP_087493499.1	AEP_00005	AEP_RS00025
WP_087493500.1	AEP_00006	AEP_RS00030
WP_087493501.1	AEP_00007	AEP_RS00035
WP_087493502.1	AEP_00008	AEP_RS00040
WP_087493503.1	AEP_00009	AEP_RS00045
WP_087493504.1	AEP_00010	AEP_RS00050
WP_087493505.1	AEP_00011	AEP_RS00055
WP_087493506.1	AEP_00012	AEP_RS00060
WP_087493507.1	AEP_00013	AEP_RS00065
WP_087493508.1	AEP_00014	AEP_RS00070
WP_087493509.1	AEP_00015	AEP_RS00075
WP_087493510.1	AEP_00016	AEP_RS00080
WP_087493511.1	AEP_00017	AEP_RS00085
WP_087493512.1	AEP_00018	AEP_RS00090
WP_087493513.1	AEP_00019	AEP_RS00095
WP_157673242.1	AEP_00020	AEP_RS00100
WP_087493514.1	AEP_00021	AEP_RS00105
WP_087493515.1	AEP_00022	AEP_RS00110
WP_087493516.1	AEP_00023	AEP_RS00115
WP_232459884.1	AEP_00026	AEP_RS00130
WP_087493517.1	AEP_00027	AEP_RS00135
WP_087493518.1	AEP_00028	AEP_RS00140
WP_087493519.1	AEP_00029	AEP_RS00145
WP_087493520.1	AEP_00030	AEP_RS00150
WP_087493521.1	AEP_00031	AEP_RS00155
WP_087493522.1	AEP_00032	AEP_RS00160
WP_087493523.1	AEP_00033	AEP_RS00165
WP_087493524.1	AEP_00034	AEP_RS00170
WP_087493525.1	AEP_00035	AEP_RS00175
WP_087493526.1	AEP_00036	AEP_RS00180
WP_087493527.1	AEP_00037	AEP_RS00185
WP_087493528.1	AEP_00038	AEP_RS00190
WP_198301873.1	AEP_00039	AEP_RS00195
WP_087493530.1	AEP_00040	AEP_RS00200
WP_087493531.1	AEP_00041	AEP_RS00205
WP_087493532.1	AEP_00042	AEP_RS00210
WP_087493533.1	AEP_00043	AEP_RS00215
WP_087493534.1	AEP_00044	AEP_RS00220
WP_087493535.1	AEP_00045	AEP_RS00225
WP_087497098.1	AEP_00046	AEP_RS00230
WP_087493536.1	AEP_00047	AEP_RS00235
WP_232460040.1	AEP_00048	AEP_RS00240
WP_087493538.1	AEP_00049	AEP_RS00245
WP_087493539.1	AEP_00050	AEP_RS00250
WP_087497099.1	AEP_00051	AEP_RS00255
WP_087493540.1	AEP_00052	AEP_RS00260
WP_087493541.1	AEP_00053	AEP_RS00265
WP_232459885.1	AEP_00054	AEP_RS00270
WP_087493543.1	AEP_00055	AEP_RS00275
WP_087493545.1	AEP_00057	AEP_RS00285
WP_087493546.1	AEP_00058	AEP_RS00290
WP_087493547.1	AEP_00059	AEP_RS00295
WP_157672990.1	AEP_00060	AEP_RS00305
WP_087493550.1	AEP_00061	AEP_RS00310
WP_157672991.1	AEP_00062	AEP_RS00315
WP_087497100.1	AEP_00063	AEP_RS00320
WP_157672992.1	AEP_00064	AEP_RS00325
WP_157672993.1	AEP_00065	AEP_RS20560
WP_087493553.1	AEP_00066	AEP_RS00335
WP_087493554.1	AEP_00069	AEP_RS00345
WP_087493555.1	AEP_00070	AEP_RS00350
