locus_tag	old_locus_tag	protein_id	GOfun	GOpro	GOfun_evidence	GOpro_evidence	product
AEP_RS00005	AEP_00001	WP_087493495.1	none	none	none	none	response regulator transcription factor
AEP_RS00010	AEP_00002	WP_087493496.1	GO:0009678	GO:1902600	IEA	IEA	sodium-translocating pyrophosphatase
AEP_RS00015	AEP_00003	WP_087493497.1	GO:0004427	GO:0006796	IEA	IEA	inorganic diphosphatase
AEP_RS00020	AEP_00004	WP_087493498.1	none	none	none	none	alpha/beta fold hydrolase
AEP_RS00025	AEP_00005	WP_087493499.1	none	GO:0006935;GO:0007165	none	IEA;IEA	chemotaxis protein CheW
AEP_RS00030	AEP_00006	WP_087493500.1	none	GO:0007165	none	IEA	methyl-accepting chemotaxis protein
AEP_RS00035	AEP_00007	WP_087493501.1	none	none	none	none	GNAT family N-acetyltransferase
AEP_RS00040	AEP_00008	WP_087493502.1	GO:0003952;GO:0005524	GO:0009435	IEA;IEA	IEA	NAD+ synthase
AEP_RS00045	AEP_00009	WP_087493503.1	none	none	none	none	P-II family nitrogen regulator
AEP_RS00050	AEP_00010	WP_087493504.1	none	none	none	none	diacylglycerol kinase
AEP_RS00055	AEP_00011	WP_087493505.1	none	none	none	none	RDD family protein
AEP_RS00060	AEP_00012	WP_087493506.1	none	none	none	none	DUF3106 domain-containing protein
AEP_RS00065	AEP_00013	WP_087493507.1	none	none	none	none	DUF3619 family protein
AEP_RS00070	AEP_00014	WP_087493508.1	GO:0003677;GO:0016987	GO:0006352;GO:0006355	IEA;IEA	IEA;IEA	RNA polymerase sigma factor
AEP_RS00075	AEP_00015	WP_087493509.1	GO:0003984	GO:0009082	IEA	IEA	acetolactate synthase 3 catalytic subunit
AEP_RS00080	AEP_00016	WP_087493510.1	GO:1990610	GO:0009082	IEA	IEA	acetolactate synthase small subunit
AEP_RS00085	AEP_00017	WP_087493511.1	none	none	none	none	ketol-acid reductoisomerase
AEP_RS00090	AEP_00018	WP_087493512.1	GO:0003882	GO:0008654	IEA	IEA	CDP-diacylglycerol--serine O-phosphatidyltransferase
AEP_RS00095	AEP_00019	WP_087493513.1	GO:0003852	none	IEA	none	2-isopropylmalate synthase
AEP_RS00100	AEP_00020	WP_157673242.1	none	none	none	none	serine hydrolase
AEP_RS00105	AEP_00021	WP_087493514.1	none	none	none	none	IclR family transcriptional regulator
AEP_RS00110	AEP_00022	WP_087493515.1	GO:0004057	GO:0016598	IEA	IEA	arginyltransferase
AEP_RS00115	AEP_00023	WP_087493516.1	GO:0008914	GO:0006508	IEA	IEA	leucyl/phenylalanyl-tRNA--protein transferase
AEP_RS00130	AEP_00026	WP_232459884.1	GO:0008881	GO:0009252	IEA	IEA	glutamate racemase
AEP_RS00135	AEP_00027	WP_087493517.1	none	none	none	none	fumarate hydratase
AEP_RS00140	AEP_00028	WP_087493518.1	GO:0003987	GO:0019427	IEA	IEA	acetate--CoA ligase
AEP_RS00145	AEP_00029	WP_087493519.1	GO:0009055;GO:0020037	none	IEA;IEA	none	c-type cytochrome
AEP_RS00150	AEP_00030	WP_087493520.1	none	none	none	none	TIGR04438 family Trp-rich protein
AEP_RS00155	AEP_00031	WP_087493521.1	GO:0004160	GO:0009082	IEA	IEA	dihydroxy-acid dehydratase
AEP_RS00160	AEP_00032	WP_087493522.1	GO:0008961	GO:0009249	IEA	IEA	prolipoprotein diacylglyceryl transferase
AEP_RS00165	AEP_00033	WP_087493523.1	none	none	none	none	GntR family transcriptional regulator
AEP_RS00170	AEP_00034	WP_087493524.1	none	none	none	none	malonyl-CoA decarboxylase family protein
AEP_RS00175	AEP_00035	WP_087493525.1	none	none	none	none	tripartite tricarboxylate transporter substrate binding protein
AEP_RS00180	AEP_00036	WP_087493526.1	none	none	none	none	enoyl-CoA hydratase/isomerase family protein
AEP_RS00185	AEP_00037	WP_087493527.1	none	none	none	none	malonyl-CoA synthase
AEP_RS00190	AEP_00038	WP_087493528.1	none	none	none	none	FIST C-terminal domain-containing protein
AEP_RS00195	AEP_00039	WP_198301873.1	none	GO:0000160	none	IEA	response regulator
AEP_RS00200	AEP_00040	WP_087493530.1	none	GO:0000160	none	IEA	response regulator
AEP_RS00205	AEP_00041	WP_087493531.1	none	none	none	none	universal stress protein
AEP_RS00210	AEP_00042	WP_087493532.1	none	none	none	none	cation-translocating P-type ATPase
AEP_RS00215	AEP_00043	WP_087493533.1	none	GO:0008535	none	IEA	cbb3-type cytochrome oxidase assembly protein CcoS
AEP_RS00220	AEP_00044	WP_087493534.1	GO:0004129	none	IEA	none	cytochrome-c oxidase, cbb3-type subunit I
AEP_RS00225	AEP_00045	WP_087493535.1	GO:0004129	none	IEA	none	cytochrome-c oxidase, cbb3-type subunit II
AEP_RS00230	AEP_00046	WP_087497098.1	none	none	none	none	CcoQ/FixQ family Cbb3-type cytochrome c oxidase assembly chaperone
